ZONERING;ECOTOOP;eco_code;VEG_STRUCT;STRUCT_COD;systeem;mech_dyn_o_gering dynamisch;mech_dyn_o_matig dynamisch;mech_dyn_o_sterk dynamisch;mech_dyn_o_onbekend;mech_dyn_o_NA;hydrologie_oever - supralittoraal of overstromingsvrij;hydrologie_oever - vochtig of overstromingsvrij;hydrologie_oever - vochtig;hydrologie_oever - drassig;hydrologie_oever - nat;hydrologie_oever - supralittoraal;hydrologie_oever -supralitoraal;hydrologie_overstromingsvrij;hydrologie_vochtig of overstromingsvrij;hydrologie_supralittoraal of overstromingsvrij;hydrologie_supralittoraal;hydrologie_vochtig;hydrologie_drassig;hydrologie_ondiep;hydrologie_matig diep;hydrologie_diep;hydrologie_zeer diep;hydrologie_onbekend;zout_cat_zoet;zout_cat_zwak brak;zout_cat_brak;zout_cat_zout;zout_cat_NA;zout_cat_onbekend;beheer_nauwelijks tot geen beheer;beheer_extensief beheer;beheer_intensief beheer;beheer_kunstmatig hard substraat;beheer_onbekend;beheer_water
Oevers;Grasland in oever;vii.1-2-3;productie/natuurlijk grasland;graslnat;g;x;x;;;;;;;x;;;;;;;x;x;;;;;;;x;x;x;;;;;;;;x;
Oevers;Grasland in oever;vii.1-2-3;productie/natuurlijk grasland;graslnat;m;x;x;;;;;;;x;;;;;;;x;x;;;;;;;x;x;x;;;;;;;;x;
Oevers;Griend in oever;vi.7;griend;struweel;g;x;x;;;;;;x;;;;;;;;x;;;;;;;;x;x;;;;;;;x;;;
Oevers;Grindbanken;ii.1;onbegroeid (natuurlijk);onbgrnat;r;;;x;;;;;;;x;;;;;;;;;;;;;;x;;;;;;x;;;;;
Oevers;Hard substraat in laag littoraal zout getijdenwater;iii.5;bebouwd/verhard;bebverh;r;;x;x;;;;;;;x;;;;;;;;;;;;;;;;x;x;;;;;;x;;
Oevers;Hard substraat in laag littoraal zout getijdenwater;iii.5;bebouwd/verhard;bebverh;g;;x;x;;;;;;;x;;;;;;;;;;;;;;;;x;x;;;;;;x;;
Oevers;Hard substraat in laag littoraal zout getijdenwater;iii.5;bebouwd/verhard;bebverh;m;;x;x;;;;;;;x;;;;;;;;;;;;;;;;x;x;;;;;;x;;
Oevers;Helofytenmoeras (riet/moerasplanten) in oever;iv.8-9;riet en overige helofyten;riet;r;x;x;;;;;;;x;;;;;;;;;;;;;;;x;x;;;;;x;x;;;;
Oevers;Helofytenmoeras (riet/moerasplanten) in oever;iv.8-9;riet en overige helofyten;riet;g;x;x;;;;;;;x;;;;;;;;;;;;;;;x;x;;;;;x;x;;;;
Oevers;Helofytenmoeras (riet/moerasplanten) in oever;iv.8-9;riet en overige helofyten;riet;m;x;x;;;;;;;x;;;;;;;;;;;;;;;x;x;;;;;x;x;;;;
Oevers;Hoogstamboomgaard in oever;vi.9;boomgaard (hoog-of halfstam);boomgrd;r;;;;x;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;x;;;
Oevers;Hoogstamboomgaard in oever;vi.9;boomgaard (hoog-of halfstam);boomgrd;g;;;;x;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;x;;;
Oevers;Hoogstamboomgaard in oever;vi.9;boomgaard (hoog-of halfstam);boomgrd;m;;;;x;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;x;;;
Oevers;Laagstamboomgaard in oever;vi.10;boomgaard (laag-of halfstam);boomgrd;r;;;;x;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;x;;;
Oevers;Laagstamboomgaard in oever;vi.10;boomgaard (laag-of halfstam);boomgrd;g;;;;x;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;x;;;
Oevers;Laagstamboomgaard in oever;vi.10;boomgaard (laag-of halfstam);boomgrd;m;;;;x;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;x;;;
Oevers;Matig dynamisch brak tot zout ondiep water/brak biezengors;i.4;ondiep water/riet en overige helofyten;watstgnnt;g;x;x;;;;;;;;x;;;;;;;;;;;;;;;;x;x;;;x;x;;;;
Oevers;Matig dynamisch brak tot zout ondiep water/brak biezengors;iv.5;ondiep water/riet en overige helofyten;watstgnnt;g;x;x;;;;;;;;x;;;;;;;;;;;;;;;;x;x;;;x;x;;;;
Oevers;Matig dynamisch hard substraat op de buitenberm onder invloed van getijdenwater;iii.8;bebouwd/verhard;bebverh;r;x;x;;;;;;;;;x;;;;;;;;;;;;;;;x;x;;;;;;x;;
Oevers;Matig dynamisch hard substraat op de buitenberm onder invloed van getijdenwater;iii.8;bebouwd/verhard;bebverh;g;x;x;;;;;;;;;x;;;;;;;;;;;;;;;x;x;;;;;;x;;
