ZONERING;ECOTOOP;eco_code;VEG_STRUCT;STRUCT_COD;systeem;mech_dyn_o_gering dynamisch;mech_dyn_o_matig dynamisch;mech_dyn_o_sterk dynamisch;mech_dyn_o_onbekend;mech_dyn_o_NA;hydrologie_oever - supralittoraal of overstromingsvrij;hydrologie_oever - vochtig of overstromingsvrij;hydrologie_oever - vochtig;hydrologie_oever - drassig;hydrologie_oever - nat;hydrologie_oever - supralittoraal;hydrologie_oever -supralitoraal;hydrologie_overstromingsvrij;hydrologie_vochtig of overstromingsvrij;hydrologie_supralittoraal of overstromingsvrij;hydrologie_supralittoraal;hydrologie_vochtig;hydrologie_drassig;hydrologie_ondiep;hydrologie_matig diep;hydrologie_diep;hydrologie_zeer diep;hydrologie_onbekend;zout_cat_zoet;zout_cat_zwak brak;zout_cat_brak;zout_cat_zout;zout_cat_NA;zout_cat_onbekend;beheer_nauwelijks tot geen beheer;beheer_extensief beheer;beheer_intensief beheer;beheer_kunstmatig hard substraat;beheer_onbekend;beheer_water
Oevers;Oever of overstromingsvrij productiegrasland;hg-2;productiegrasland;graslprod;g;x;x;;;;;;;x;;;;;x;;;;;;;;;;x;x;x;;;;;;x;;;
Oevers;Oever of overstromingsvrij productiegrasland;hg-2;productiegrasland;graslprod;m;x;x;;;;;;;x;;;;;x;;;;;;;;;;x;x;x;;;;;;x;;;
Oevers;Oever of overstromingsvrij struweel;vi.2;struweel;struweel;r;x;x;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij struweel;vi.2;struweel;struweel;g;x;x;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij struweel;vi.2;struweel;struweel;m;x;x;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij struweel;hb-2;struweel;struweel;r;x;x;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij struweel;hb-2;struweel;struweel;g;x;x;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Oever of overstromingsvrij struweel;hb-2;struweel;struweel;m;x;x;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Oeverwal of uiterwaard akker;o-ua-1;akker;akker;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Oeverwal of uiterwaard bebouwd;o-ua-2;bebouwd/verhard;bebverh;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;
Oevers;Oeverwal of uiterwaard grasland (natuurlijk of productie);o-ug-1-2;productie/natuurlijk grasland;graslnat;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Oeverwal of uiterwaard hoogstamboomgaard;o-ub-4;boomgaard (hoog-of halfstam);boomgrd;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Oeverwal of uiterwaard laagstamboomgaard;o-ub-5;laagstam boom-/fruitgaarden en kwekerijen;boomgrd;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Oeverwal of uiterwaard natuurlijk bos;o-ub-1;natuurlijk bos;bosnat;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Oeverwal of uiterwaard natuurlijk grasland;o-ug-1;natuurlijk grasland;graslnat;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Oeverwal of uiterwaard onbegroeid (antropogeen);rest-o-u;onbegroeid (antropogeen);onbgrtijd;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Oeverwal of uiterwaard onberoeid (natuurlijk);o-uk-1;onbegroeid (natuurlijk);onbgrtijd;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Oeverwal of uiterwaard productiebos;o-ub-3;productiebos;bosprod;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Oeverwal of uiterwaard productiegrasland;o-ug-2;productiegrasland;graslprod;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Oeverwal of uiterwaard ruigte;o-ur-1;ruigte;ruigte;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Oeverwal of uiterwaard struweel;o-ub-2;struweel;struweel;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Oeverwal of uiterwaard vegetatie met lage bedekking (5 - 25%);o-up-1;vegetatie met lage bedekking (5-25%);pionier;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Onbegroeid (antropogeen) in oever;rest-o;onbegroeid (antropogeen);onbgrtijd;r;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;x;
Oevers;Onbegroeid (antropogeen) in oever;rest-o;onbegroeid (antropogeen);onbgrtijd;g;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;x;
Oevers;Onbegroeid (antropogeen) in oever;rest-o;onbegroeid (antropogeen);onbgrtijd;m;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;x;
Oevers;Overstromingsarm vloedbos;vi.6;natuurlijk bos;bosnat;g;x;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Overstromingsvrij bebouwd;ha-2;bebouwd/verhard;bebverh;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;x;;
Oevers;Overstromingsvrij bebouwd;ha-2;bebouwd/verhard;bebverh;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;x;;
Oevers;Overstromingsvrij bebouwd;ha-2;bebouwd/verhard;bebverh;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;x;;
Oevers;Overstromingsvrij grasland (natuurlijk of productie);hg-1-2;productie/natuurlijk grasland;graslnat;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Overstromingsvrij grasland (natuurlijk of productie);hg-1-2;productie/natuurlijk grasland;graslnat;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Overstromingsvrij grasland (natuurlijk of productie);hg-1-2;productie/natuurlijk grasland;graslnat;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Overstromingsvrij hardhoutooibos;hb-6;hardhoutooibos;bosnat;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrij natuurlijk bos;hb-1;natuurlijk bos;bosnat;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrij natuurlijk bos;hb-1;natuurlijk bos;bosnat;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrij natuurlijk bos;hb-1;natuurlijk bos;bosnat;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrij natuurlijk grasland;hg-1;natuurlijk grasland;graslnat;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrij natuurlijk grasland;hg-1;natuurlijk grasland;graslnat;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrij natuurlijk grasland;hg-1;natuurlijk grasland;graslnat;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrij onbegroeid (antropogeen);rest-h;onbegroeid (antropogeen);onbgrtijd;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Overstromingsvrij onbegroeid (antropogeen);rest-h;onbegroeid (antropogeen);onbgrtijd;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Overstromingsvrij onbegroeid (antropogeen);rest-h;onbegroeid (antropogeen);onbgrtijd;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Overstromingsvrij productiebos;hb-3;productiebos;bosprod;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrij productiebos;hb-3;productiebos;bosprod;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrij productiebos;hb-3;productiebos;bosprod;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrij productiegrasland;hg-2;productiegrasland;graslprod;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrij productiegrasland;hg-2;productiegrasland;graslprod;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrij productiegrasland;hg-2;productiegrasland;graslprod;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrij riet;hm-1;riet en overige helofyten;riet;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;x;;;;
Oevers;Overstromingsvrij riet;hm-1;riet en overige helofyten;riet;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;x;;;;
Oevers;Overstromingsvrij riet;hm-1;riet en overige helofyten;riet;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;x;;;;
Oevers;Overstromingsvrij struweel;hb-2;struweel;struweel;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrij struweel;hb-2;struweel;struweel;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrij struweel;hb-2;struweel;struweel;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrij tijdelijk kaal;rest-o-t;rest;;g;x;x;x;;;;;;;x;;;;;x;;x;x;;;;;;x;x;x;x;;;x;x;x;;;
Oevers;Overstromingsvrije akker;ha-1;akker;akker;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrije akker;ha-1;akker;akker;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrije akker;ha-1;akker;akker;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrije hoogstamboomgaard;hb-4;boomgaard (hoog-of halfstam);boomgrd;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrije hoogstamboomgaard;hb-4;boomgaard (hoog-of halfstam);boomgrd;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrije hoogstamboomgaard;hb-4;boomgaard (hoog-of halfstam);boomgrd;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrije laagstamboomgaard;hb-5;laagstam boom-/fruitgaarden en kwekerijen;boomgrd;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrije laagstamboomgaard;hb-5;laagstam boom-/fruitgaarden en kwekerijen;boomgrd;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrije laagstamboomgaard;hb-5;laagstam boom-/fruitgaarden en kwekerijen;boomgrd;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Overstromingsvrije ruigte;hr-1;ruigte;ruigte;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrije ruigte;hr-1;ruigte;ruigte;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrije ruigte;hr-1;ruigte;ruigte;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Overstromingsvrije vegetatie met lage bedekking (5 - 25%);hp-1;vegetatie met lage bedekking (5-25%);pionier;r;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Overstromingsvrije vegetatie met lage bedekking (5 - 25%);hp-1;vegetatie met lage bedekking (5-25%);pionier;g;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Overstromingsvrije vegetatie met lage bedekking (5 - 25%);hp-1;vegetatie met lage bedekking (5-25%);pionier;m;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Productiebos in oever;vi.8;productiebos;bosprod;r;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;x;;;
Oevers;Productiebos in oever;vi.8;productiebos;bosprod;g;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;x;;;
Oevers;Productiebos in oever;vi.8;productiebos;bosprod;m;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;x;;;
Oevers;Productiegrasland in oever;vii.3;productiegrasland;graslprod;r;x;x;;;;;;;x;;;;;;;;x;;;;;;;x;x;x;;;;;;x;;;
Oevers;Productiegrasland in oever;vii.3;productiegrasland;graslprod;g;x;x;;;;;;;x;;;;;;;;x;;;;;;;x;x;x;;;;;;x;;;
Oevers;Productiegrasland in oever;vii.3;productiegrasland;graslprod;m;x;x;;;;;;;x;;;;;;;;x;;;;;;;x;x;x;;;;;;x;;;
Oevers;Soortenarm helofytenmoeras van het supralittoraal;iv.11;riet en overige helofyten;riet;g;;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;x;x;x;;;;
Oevers;Soortenarme helofytenvegetatie in ondiep water;iv.1;riet en overige helofyten;riet;r;x;x;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;x;;;;
Oevers;Soortenarme helofytenvegetatie in ondiep water;iv.1;riet en overige helofyten;riet;g;x;x;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;x;;;;
Oevers;Soortenarme helofytenvegetatie in ondiep water;iv.1;riet en overige helofyten;riet;m;x;x;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;x;;;;
Oevers;Soortenarme moerasruigte/overstromingsvrij riet;v.2;ruigte;;g;x;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;;;;;
Oevers;Sterk dynamische brakke en zoute zandige platen/matig dynamische brakke en zoute lage platen;ii.3;kale plaat;onbgrnat;g;;x;x;;;;;;;x;;;;;;;;;;;;;;x;x;;;;;x;;;;;
Oevers;Sterk dynamische brakke en zoute zandige platen/matig dynamische brakke en zoute lage platen;ii.3-5;onbegroeid (natuurlijk);onbgrnat;g;;x;x;;;;;;;x;;;;;;;x;x;;;;;;;;x;x;;;x;;;;;
Oevers;Tijdelijk kaal;ix.a;akker;;g;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Tijdelijk kaal;ha-1;akker;;g;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Uiterwaard akker;ua-1;akker;akker;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Uiterwaard bebouwd;ua-2;bebouwd/verhard;bebverh;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;
Oevers;Uiterwaard grasland (natuurlijk of productie);ug-1-2;productie/natuurlijk grasland;graslnat;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Uiterwaard hoogstamboomgaard;ub-4;boomgaard (hoog-of halfstam);boomgrd;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Uiterwaard laagstamboomgaard;ub-5;laagstam boom-/fruitgaarden en kwekerijen;boomgrd;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Uiterwaard natuurlijk bos;ub-1;natuurlijk bos;bosnat;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Uiterwaard natuurlijk grasland;ug-1;natuurlijk grasland;graslnat;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Uiterwaard onbegroeid (antropogeen);rest-u;onbegroeid (antropogeen);onbgrtijd;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Uiterwaard productiebos;ub-3;productiebos;bosprod;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Uiterwaard productiegrasland;ug-2;productiegrasland;graslprod;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;x;;;
Oevers;Uiterwaard riet;um-1;riet en overige helofyten;riet;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Uiterwaard ruigte;ur-1;ruigte;ruigte;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Uiterwaard struweel;ub-2;struweel;struweel;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;x;x;;;;
Oevers;Uiterwaard vegetatie met lage bedekking (5 - 25%);up-1;vegetatie met lage bedekking (5-25%);pionier;r;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;
Oevers;Vegetatie met lage bedekking (5 - 25%) in oever;vii.4;vegetatie met lage bedekking (5 - 25%);pionier;r;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;x;
Oevers;Vegetatie met lage bedekking (5 - 25%) in oever;vii.4;vegetatie met lage bedekking (5 - 25%);pionier;g;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;x;
Oevers;Vegetatie met lage bedekking (5 - 25%) in oever;vii.4;vegetatie met lage bedekking (5 - 25%);pionier;m;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;x;
Oevers;Vegetatie met lage bedekking (5 - 25%) in oever of overstromingsvrij;vii.4;vegetatie met lage bedekking (5 - 25%);pionier;r;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;x;
Oevers;Vegetatie met lage bedekking (5 - 25%) in oever of overstromingsvrij;vii.4;vegetatie met lage bedekking (5 - 25%);pionier;g;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;x;
Oevers;Vegetatie met lage bedekking (5 - 25%) in oever of overstromingsvrij;vii.4;vegetatie met lage bedekking (5 - 25%);pionier;m;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;x;
Oevers;Vegetatie met lage bedekking (5 - 25%) in oever of overstromingsvrij;hp-1;vegetatie met lage bedekking (5 - 25%);pionier;r;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;x;
Oevers;Vegetatie met lage bedekking (5 - 25%) in oever of overstromingsvrij;hp-1;vegetatie met lage bedekking (5 - 25%);pionier;g;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;x;
Oevers;Vegetatie met lage bedekking (5 - 25%) in oever of overstromingsvrij;hp-1;vegetatie met lage bedekking (5 - 25%);pionier;m;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;x;
Oevers;Vloedbos in oever;vi.5;natuurlijk bos;bosnat;g;x;x;;;;;;x;;;;;;;;;;;;;;;;x;x;;;;;x;x;;;;
Oevers;Zachthout ooibos in oever;vi.4;natuurlijk bos;bosnat;r;x;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zachthout ooibos in oever;vi.4;natuurlijk bos;bosnat;g;x;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zachthout ooibos in oever;vi.4;natuurlijk bos;bosnat;m;x;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zachthout struweel;v.2;ruigte/riet en overige helofyten;;g;x;;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zachthout struweel;hm-1;ruigte/riet en overige helofyten;;g;x;;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zachthout struweel in oever;vi.2;struweel;struweel;r;x;x;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zachthout struweel in oever;vi.2;struweel;struweel;g;x;x;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zachthout struweel in oever;vi.2;struweel;struweel;m;x;x;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zachthout struweel in oever;vi.2-3;struweel;struweel;r;x;x;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zachthout struweel in oever;vi.2-3;struweel;struweel;g;x;x;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zachthout struweel in oever;vi.2-3;struweel;struweel;m;x;x;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;x;;;;
Oevers;Zoete zandplaten;ii.2;onbegroeid (natuurlijk);onbgrnat;r;;;x;;;;;;;x;;;;;;;;;;;;;;x;;;;;;x;;;;;
Oevers;Zoete zandplaten;ii.2;onbegroeid (natuurlijk);onbgrnat;m;;;x;;;;;;;x;;;;;;;;;;;;;;x;;;;;;x;;;;;
Oevers;Zoete zandplaten/zoete slibrijke platen;ii.2-4;onbegroeid (natuurlijk);onbgrnat;g;;x;x;;;;;;;x;;;;;;;;;;;;;;x;x;;;;;x;;;;;
Oevers;Zoetwater biezengors;iv.3;biezen;biezen;m;x;x;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;x;x;;;;
